"x","MC reward","sarsa reward","q reward"
"12700","-0.018095238095238088","-0.0333301282051282","-0.01881686115741844"
"12800","-0.01934478021978021","-0.014576923076923076","-0.03417776341305753"
"12900","-0.015587923428480695","-0.012824175824175823","-0.016916208791208795"
"13000","-0.008984126984126973","-0.029264343499637618","-0.015261904761904765"
"13100","-0.021366713352007464","-0.009990842490842488","-0.018317873303167427"
"13200","-0.011821078431372539","-0.015742476477770596","-0.020467643467643473"
"13300","-0.01426628600158011","-0.03161477085006497","-0.012686920922215041"
"13400","-0.018485862091125245","-0.021847285067873305","-0.019465309200603322"
"13500","-0.009313797313797303","-0.01887054032139172","-0.017847985347985353"
"13600","-0.015251984126984117","-0.028062923428480713","-0.01984961933491346"
"13700","-0.01947517833044148","-0.023554193269750556","-0.016672771672771678"
"13800","-0.007029304029304018","-0.01350967161493477","-0.01419287330316742"
"13900","-0.01944607843137254","-0.021836167341430505","-0.008847985347985343"
"14000","-0.015518925518925508","-0.011084859584859583","-0.018557952668246787"
"14100","-0.017942002442002433","-0.019529761904761904","-0.020755602240896367"
"14200","-0.016502397112691226","-0.010773001508295622","-0.016969537815126053"
"14300","-0.015954116059379207","-0.013720238095238094","-0.0222873482726424"
"14400","-0.021555160525748757","-0.037427808302808306","-0.010924908424908421"
"14500","-0.019894242109799377","-0.017978479853479855","-0.01580808702791462"
"14600","-0.016019491129785242","-0.018077380952380956","-0.020460730446024568"
"14700","-0.018299603174603166","-0.015901556776556778","-0.01767327141382869"
"14800","-0.017553475033738185","-0.0176690637793579","-0.02174171335200748"
"14900","-0.020516806722689067","-0.016933511663774825","-0.033532509157509154"
"15000","-0.017440018315018308","-0.009115079365079364","-0.018677763413057533"
"15100","-0.016156746031746026","-0.02563884935440664","-0.020262012497306622"
"15200","-0.020141036981594244","-0.025254731379731388","-0.018849206349206355"
"15300","-0.0274773665876607","-0.015832775919732443","-0.015503540903540908"
"15400","-0.02161309523809523","-0.013767857142857142","-0.01154156712852365"
"15500","-0.01903368526897938","-0.02687179487179487","-0.027819780219780217"
"15600","-0.016605221575809802","-0.004800366300366296","-0.02124909244634309"
"15700","-0.023863329695205753","-0.014555510665804785","-0.014175724637681164"
"15800","-0.014130952380952374","-0.022350274725274732","-0.01434478021978022"
"15900","-0.015357043318999833","-0.012639652014652013","-0.011082525317819437"
"16000","-0.019020254255548368","-0.01820025554081282","-0.01821230158730159"
"16100","-0.012900335775335767","-0.012106334841628959","-0.004871794871794867"
"16200","-0.015261446886446877","-0.007734539969834085","-0.013782509157509157"
"16300","-0.02035476370035193","-0.0280358911739313","-0.020707525317819442"
"16400","-0.017797161172161163","-0.017763951734539974","-0.009427350427350423"
"16500","-0.014949175824175815","-0.01684798534798535","-0.018210730446024566"
"16600","-0.021006105006105","-0.019183715794009914","-0.02307341269841271"
"16700","-0.014800366300366291","-0.016335730446024564","-0.008236874236874235"
"16800","-0.025183511663774815","-0.01287973137973138","-0.010990384615384617"
"16900","-0.022875763125763122","-0.021285592185592193","-0.019576060413016943"
"17000","-0.013077030812324919","-0.02339172561155321","-0.014779411764705885"
"17100","-0.014362637362637353","-0.016189668174962295","-0.024934173669467784"
"17200","-0.011457983193277298","-0.03581192092221504","-0.011678113553113548"
"17300","-0.022108877964141117","-0.02568006413091553","-0.017968768074031232"
"17400","-0.024114279546824297","-0.012307811383662777","-0.005163461538461533"
"17500","-0.01613930187459598","-0.019138431013431018","-0.030278603749191984"
"17600","-0.02004330065359477","-0.03735759746789159","-0.012128826969384245"
"17700","-0.008398001508295616","-0.015412907268170429","-0.01076190476190476"
"17800","-0.013791208791208778","-0.01599084249084249","-0.00855311355311355"
"17900","-0.017435592185592173","-0.015484539969834088","-0.01729960317460318"
"18000","-0.016202686202686195","-0.012757236227824464","-0.006208333333333331"
"18100","-0.020147243107769417","-0.011383241758241753","-0.011067873303167417"
"18200","-0.020529761904761898","-0.015597222222222224","-0.01231379731379731"
"18300","-0.029098568914745375","-0.01208252531781943","-0.01696922594948911"
"18400","-0.01618966817496228","-0.013192873303167419","-0.016517049127343246"
"18500","-0.01785211756767484","-0.024660014005602242","-0.023797268907563028"
"18600","-0.014949175824175816","-0.030148006233532566","-0.01664800150829563"
"18700","-0.009285714285714276","-0.017341575091575096","-0.011588935574229691"
"18800","-0.027206762192056304","-0.018496336996336998","-0.012043300653594772"
"18900","-0.015534906270200377","-0.02227895388924801","-0.015391081871345033"
"19000","-0.010465811965811953","-0.02586274509803923","-0.015192873303167423"
"19100","-0.016511204481792708","-0.018879590095147374","-0.020209096459096465"
"19200","-0.020970961056487363","-0.017186920922215042","-0.012136446886446887"
"19300","-0.014906808877397103","-0.016573717948717946","-0.014674908424908423"
"19400","-0.013338935574229683","-0.015396430367018604","-0.009681318681318676"
"19500","-0.015817765567765558","-0.016452281414237938","-0.015432952668246791"
"19600","-0.03394123931623931","-0.014374191984486102","-0.007335730446024563"
"19700","-0.012578691423519004","-0.015931318681318682","-0.006877397112691227"
"19800","-0.005410256410256399","-0.015079320189614309","-0.02446153846153846"
"19900","-0.01673133484162895","-0.01019230769230769","-0.013362637362637365"
"20000","-0.003705128205128194","-0.01504625676181404","-0.012905733885997047"
"20100","-0.01922426919485742","-0.01149007936507936","-0.014579116059379222"
"20200","-0.01692490842490842","-0.019972985347985354","-0.01289449112978525"
"20300","-0.020713072910323545","-0.015106792717086837","-0.010678113553113551"
"20400","-0.014069444444444437","-0.0120491452991453","-0.016284244264507423"
"20500","-0.015641348847231194","-0.012952380952380951","-0.01243131868131868"
"20600","-0.011401206636500743","-0.033899889240446526","-0.008157509157509152"
"20700","-0.011859432234432223","-0.013001842842400118","-0.007553113553113548"
"20800","-0.021624999999999988","-0.02148946886446887","-0.015844017094017098"
"20900","-0.012703907203907192","-0.016140832851359168","-0.015861874236874237"
"21000","-0.012999900461856973","-0.016097985347985348","-0.016139652014652013"
"21100","-0.011642857142857132","-0.010736874236874232","-0.025968004948268113"
"21200","-0.0041666666666666545","-0.012537449392712549","-0.017454320189614313"
"21300","-0.019478587588881702","-0.027977162457425625","-0.019611874236874244"
"21400","-0.025368697478991592","-0.015311716791979952","-0.014297268907563023"
"21500","-0.010231334841628947","-0.01267811355311355","-0.02976584104861802"
"21600","-0.013512317747611854","-0.013186157796451917","-0.009850178330441488"
"21700","-0.011214285714285704","-0.022133699633699634","-0.015973748473748474"
"21800","-0.010139652014652004","-0.010249191984486098","-0.023916666666666662"
